,acousticness,dance,duration,energy,instrumentalness,key,liveness,loudness,mode,playlist,song,speech,tempo,time,valence
199,0.372,0.389,264853,0.467,1.05e-06,5,0.179,-6.207,0,45UoCqtVh2BR1HteUkmRje,4Eybcl06frChLYoXm0sxJi,0.0273,139.878,3,0.29
200,0.155,0.554,238475,0.513,4.57e-06,9,0.111,-5.772,1,45UoCqtVh2BR1HteUkmRje,4F3LG2ig1CNeBvryO4T2RP,0.0286,138.037,4,0.169
201,0.783,0.5,213471,0.323,0.0088,6,0.109,-9.731,1,45UoCqtVh2BR1HteUkmRje,4Fkt2UatA6SXHGh1g5B8VK,0.0263,142.191,4,0.372
202,0.823,0.703,262060,0.207,0.0,3,0.109,-8.265,1,45UoCqtVh2BR1HteUkmRje,4HXUMRdT6s6Am6YHcWmuib,0.028,95.932,4,0.505
203,0.000618,0.574,178267,0.911,0.0,9,0.0769,-5.176,1,45UoCqtVh2BR1HteUkmRje,4KacUpvbA3Mfo05gttTjhN,0.0715,98.075,4,0.573
204,0.771,0.315,263573,0.296,0.0,5,0.702,-13.262,1,45UoCqtVh2BR1HteUkmRje,4LloVtxNZpeh7q7xdi1DQc,0.0317,172.638,4,0.436
205,0.658,0.459,199152,0.412,0.000104,4,0.279,-8.452,1,45UoCqtVh2BR1HteUkmRje,4MTZPDFlNf42EC489MwX94,0.0281,135.684,4,0.291
206,0.863,0.544,191813,0.379,0.0,7,0.083,-9.113,0,45UoCqtVh2BR1HteUkmRje,4QfNOZN7vrQCQKK1ZJ3XPb,0.0412,199.756,3,0.322
207,0.823,0.482,316107,0.282,2.81e-06,4,0.0945,-10.548,1,45UoCqtVh2BR1HteUkmRje,4S9nEoY9rQJre3uz6nNndo,0.0302,93.165,4,0.128
208,0.756,0.689,263000,0.419,0.0,7,0.123,-7.532,1,45UoCqtVh2BR1HteUkmRje,4Sn293PFE5T7seeH6uE4YV,0.0279,105.939,4,0.566
209,0.725,0.634,293240,0.385,0.00016,6,0.104,-7.484,1,45UoCqtVh2BR1HteUkmRje,4WxpqDEOIqjx9Ux2J63K9u,0.0285,129.891,4,0.152
210,0.497,0.851,298773,0.849,2.05e-06,1,0.116,-3.383,0,45UoCqtVh2BR1HteUkmRje,4XHQyvbrBsQaaBUW1VvmsL,0.0828,120.014,4,0.844
211,0.904,0.507,218293,0.134,1.04e-05,4,0.103,-17.01,1,45UoCqtVh2BR1HteUkmRje,4aG1OTkWookWM4UdkaV4Iy,0.0368,135.8,4,0.377
212,0.614,0.439,276147,0.207,0.0,1,0.187,-9.573,1,45UoCqtVh2BR1HteUkmRje,4dp8cI4USaMlFzJ5MeBsVs,0.0296,136.513,4,0.263
213,0.00444,0.801,211533,0.641,3.54e-05,8,0.105,-9.097,0,45UoCqtVh2BR1HteUkmRje,4eLQPgkIwZI6OlllntlLdF,0.0565,93.773,4,0.829
214,0.879,0.4,226345,0.323,0.000571,2,0.103,-10.831,1,45UoCqtVh2BR1HteUkmRje,4gek9UL5WceAq1qiZlhmGM,0.0328,105.337,4,0.289
215,0.965,0.71,275280,0.0565,0.0,7,0.0889,-15.099,1,45UoCqtVh2BR1HteUkmRje,4h0zU3O9R5xzuTmNO7dNDU,0.0534,123.994,4,0.348
216,0.709,0.464,215120,0.351,6.83e-05,4,0.0951,-7.459,1,45UoCqtVh2BR1HteUkmRje,4hjEpk0l4r3yGvRUT3aT0h,0.0273,129.681,4,0.134
217,0.128,0.574,300107,0.629,0.0,2,0.271,-8.815,0,45UoCqtVh2BR1HteUkmRje,4jDmJ51x1o9NZB5Nxxc7gY,0.0363,153.119,4,0.786
218,0.892,0.559,285040,0.33,0.0,9,0.0975,-8.251,1,45UoCqtVh2BR1HteUkmRje,4kflIGfjdZJW4ot2ioixTB,0.0285,135.109,4,0.285
219,0.668,0.689,267698,0.287,2.88e-06,7,0.059,-11.906,1,45UoCqtVh2BR1HteUkmRje,4kk0uL01dukOo1P4l7pPyM,0.0336,122.912,4,0.399
